100-SE-A,100-SE-B,101-SE-A,101-SE-B,102-SE-A,102-SE-B,103-SE-A,103-SE-B,105-SE-A,105-SE-B,107-SE-A,107-SE-B,109-SE-A,109-SE-B,110-SE-A,110-SE-B,113-SE-A,113-SE-B,118-SE-A,118-SE-B,119-SE-A,119-SE-B,120-SE-A,120-SE-B,CONT-SE-1A,CONT-SE-1B,CONT-SE-2A,CONT-SE-2B,GKSE-A,GKSE-B,SPSE-A,SPSE-B
sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN,sp|P02768|ALBU_HUMAN
sp|P01023|A2MG_HUMAN,sp|P02768|ALBU_HUMAN,sp|P01024|CO3_HUMAN,sp|P02768|ALBU_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01024|CO3_HUMAN,sp|P02787|TRFE_HUMAN,tr|B7WNR0|B7WNR0_HUMAN,sp|P01023|A2MG_HUMAN,tr|J3KN47|J3KN47_HUMAN,sp|P01024|CO3_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01023|A2MG_HUMAN
sp|P01871-2|IGHM_HUMAN,sp|P01023|A2MG_HUMAN,sp|P00738|HPT_HUMAN,sp|P01024|CO3_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P00738|HPT_HUMAN,sp|P00738|HPT_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01024|CO3_HUMAN,sp|P01023|A2MG_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P01023|A2MG_HUMAN,sp|P01023|A2MG_HUMAN,tr|J3KN47|J3KN47_HUMAN
sp|P01857|IGHG1_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P00738|HPT_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01023|A2MG_HUMAN,sp|P02787|TRFE_HUMAN,tr|Q0VAC5|Q0VAC5_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02787|TRFE_HUMAN,sp|P00738|HPT_HUMAN,sp|P00738|HPT_HUMAN,sp|P00738|HPT_HUMAN,sp|P01024|CO3_HUMAN,sp|P02787|TRFE_HUMAN,sp|P00738|HPT_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN,sp|P00738|HPT_HUMAN,tr|B0UZ83|B0UZ83_HUMAN,sp|P01024|CO3_HUMAN,sp|P00738|HPT_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01023|A2MG_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02647|APOA1_HUMAN,tr|J3KN47|J3KN47_HUMAN,sp|P01024|CO3_HUMAN,sp|P01024|CO3_HUMAN
sp|P01859|IGHG2_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01024|CO3_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01024|CO3_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|A2BHY4|A2BHY4_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01596|KV104_HUMAN,sp|P02652|APOA2_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01023|A2MG_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01871-2|IGHM_HUMAN
sp|O43866|CD5L_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01024|CO3_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01009|A1AT_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P00738|HPT_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01859|IGHG2_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P02647|APOA1_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01009-2|A1AT_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P00738|HPT_HUMAN,sp|P00738|HPT_HUMAN
tr|J3QR68|J3QR68_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P00738|HPT_HUMAN,sp|P02647|APOA1_HUMAN,tr|J3QR68|J3QR68_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01009|A1AT_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P04114|APOB_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01834|IGKC_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01023|A2MG_HUMAN,sp|P00738|HPT_HUMAN,sp|P00738|HPT_HUMAN,sp|P01871-2|IGHM_HUMAN,tr|J3QLC9|J3QLC9_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01834|IGKC_HUMAN
sp|P01834|IGKC_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P00738|HPT_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P00738|HPT_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01834|IGKC_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P00738|HPT_HUMAN,tr|J3QR68|J3QR68_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01024|CO3_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01871-2|IGHM_HUMAN,tr|J3KN47|J3KN47_HUMAN,sp|P01024|CO3_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P01596|KV104_HUMAN,tr|J3QLC9|J3QLC9_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01597|KV105_HUMAN
sp|P02787|TRFE_HUMAN,sp|P01024|CO3_HUMAN,sp|P01877|IGHA2_HUMAN,sp|P01834|IGKC_HUMAN,sp|P00738|HPT_HUMAN,tr|J3KN47|J3KN47_HUMAN,tr|J3QR68|J3QR68_HUMAN,sp|P04220|MUCB_HUMAN,sp|P0CG04|LAC1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01834|IGKC_HUMAN,tr|Q0VAC5|Q0VAC5_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P02787|TRFE_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P04220|MUCB_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P01834|IGKC_HUMAN,sp|P02652|APOA2_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01766|HV305_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01876|IGHA1_HUMAN
sp|P01024|CO3_HUMAN,tr|Q0VAC5|Q0VAC5_HUMAN,tr|A2BHY4|A2BHY4_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|J3KN47|J3KN47_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P04114|APOB_HUMAN,sp|P0DJI8|SAA1_HUMAN,sp|P00738|HPT_HUMAN,sp|P04114|APOB_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P04220|MUCB_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P04114|APOB_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01859|IGHG2_HUMAN,tr|Q0VAC5|Q0VAC5_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P02787|TRFE_HUMAN,sp|P04004|VTNC_HUMAN,sp|P04114|APOB_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01009|A1AT_HUMAN,sp|P04114|APOB_HUMAN
sp|P04220|MUCB_HUMAN,sp|P04114|APOB_HUMAN,sp|P00450|CERU_HUMAN,sp|P01009|A1AT_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P02652|APOA2_HUMAN,sp|P00450|CERU_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01834|IGKC_HUMAN,tr|B0UZ83|B0UZ83_HUMAN,sp|P01834|IGKC_HUMAN,sp|P19652|A1AG2_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P01834|IGKC_HUMAN,sp|P0CG05|LAC2_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P68871|HBB_HUMAN
sp|P0CF74|LAC6_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01871-2|IGHM_HUMAN,tr|J3KN47|J3KN47_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P04114|APOB_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P0DJI8|SAA1_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P0CG05|LAC2_HUMAN,tr|Q0VAC5|Q0VAC5_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|J3KRH2|J3KRH2_HUMAN,sp|P04196|HRG_HUMAN,sp|P01009-2|A1AT_HUMAN,sp|P01593|KV101_HUMAN,sp|P01764|HV303_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P04220|MUCB_HUMAN
sp|P04114|APOB_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02790|HEMO_HUMAN,sp|P01834|IGKC_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P0DJI9|SAA2_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P02790|HEMO_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P0CG04|LAC1_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P02652|APOA2_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P00738|HPT_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|P04114|APOB_HUMAN,sp|P04004|VTNC_HUMAN,tr|D6RD17|D6RD17_HUMAN,tr|D6RD17|D6RD17_HUMAN
sp|P02652|APOA2_HUMAN,sp|O43866|CD5L_HUMAN,sp|P02652|APOA2_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P02787|TRFE_HUMAN,sp|P01834|IGKC_HUMAN,sp|P02647|APOA1_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P02652|APOA2_HUMAN,sp|P02652|APOA2_HUMAN,tr|B0UZ83|B0UZ83_HUMAN,tr|B0UZ83|B0UZ83_HUMAN,sp|P02790|HEMO_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P02652|APOA2_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|Q96GC6-4|ZN274_HUMAN,sp|Q96GC6-2|ZN274_HUMAN,sp|P02790|HEMO_HUMAN,sp|P02647|APOA1_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P01857|IGHG1_HUMAN
sp|P00739-2|HPTR_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P01860|IGHG3_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P01860|IGHG3_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01860|IGHG3_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P02787|TRFE_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P04114|APOB_HUMAN,sp|P01861|IGHG4_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P0CF74|LAC6_HUMAN,sp|P01877|IGHA2_HUMAN,sp|P02647|APOA1_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01860|IGHG3_HUMAN,tr|J3QLC9|J3QLC9_HUMAN,sp|O75460|ERN1_HUMAN,sp|P01857|IGHG1_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01593|KV101_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P68871|HBB_HUMAN,sp|P01606|KV114_HUMAN
sp|P01876|IGHA1_HUMAN,sp|P02790|HEMO_HUMAN,sp|P02790|HEMO_HUMAN,sp|P01871-2|IGHM_HUMAN,sp|P02652|APOA2_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01859|IGHG2_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P02790|HEMO_HUMAN,sp|P0DJI9|SAA2_HUMAN,sp|P04003|C4BPA_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01009|A1AT_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01009|A1AT_HUMAN,sp|P01877|IGHA2_HUMAN,sp|P02790|HEMO_HUMAN,sp|A0M8Q6|LAC7_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P01859|IGHG2_HUMAN,sp|P04114|APOB_HUMAN,sp|P04003|C4BPA_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P04004|VTNC_HUMAN,sp|P19652|A1AG2_HUMAN,sp|P01860|IGHG3_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,tr|C9JV77|C9JV77_HUMAN,sp|P01861|IGHG4_HUMAN
sp|P02647|APOA1_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P0CF74|LAC6_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P04114|APOB_HUMAN,sp|P04003|C4BPA_HUMAN,tr|F8W7G7|F8W7G7_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P04114|APOB_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01596|KV104_HUMAN,sp|P01877|IGHA2_HUMAN,sp|P04196|HRG_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P02652|APOA2_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P00450|CERU_HUMAN,sp|P02647|APOA1_HUMAN,sp|P0CF74|LAC6_HUMAN,sp|P02647|APOA1_HUMAN,tr|C9JV77|C9JV77_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P01876|IGHA1_HUMAN,tr|H0YKL8|H0YKL8_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P01764|HV303_HUMAN,sp|P01766|HV305_HUMAN,sp|P01620|KV302_HUMAN
sp|P01860|IGHG3_HUMAN,tr|F8W696|F8W696_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P02652|APOA2_HUMAN,sp|O43866|CD5L_HUMAN,sp|P04114|APOB_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01861|IGHG4_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P02790|HEMO_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P01859|IGHG2_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P01766|HV305_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P02790|HEMO_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P02652|APOA2_HUMAN,sp|P02652|APOA2_HUMAN,tr|H0YGH6|H0YGH6_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P19652|A1AG2_HUMAN,tr|H0Y3H2|H0Y3H2_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P0CG05|LAC2_HUMAN,sp|P04220|MUCB_HUMAN,sp|P01876|IGHA1_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P19652|A1AG2_HUMAN
sp|P02790|HEMO_HUMAN,sp|P01596|KV104_HUMAN,sp|P01009-2|A1AT_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P01766|HV305_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P00739|HPTR_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P02652|APOA2_HUMAN,tr|Q5T985|Q5T985_HUMAN,sp|P04114|APOB_HUMAN,sp|P01860|IGHG3_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01620|KV302_HUMAN,sp|P02790|HEMO_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P02652|APOA2_HUMAN,sp|P19652|A1AG2_HUMAN,sp|P68871|HBB_HUMAN,sp|P02790|HEMO_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P04003|C4BPA_HUMAN,tr|B0YIW2|B0YIW2_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P02647|APOA1_HUMAN,sp|P02652|APOA2_HUMAN,sp|P04217|A1BG_HUMAN,sp|P01857|IGHG1_HUMAN,sp|P02652|APOA2_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01859|IGHG2_HUMAN
sp|P01596|KV104_HUMAN,sp|P01620|KV302_HUMAN,sp|P01009|A1AT_HUMAN,sp|P02647|APOA1_HUMAN,sp|P00739|HPTR_HUMAN,sp|P02790|HEMO_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P0CG05|LAC2_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P01860|IGHG3_HUMAN,sp|P04196|HRG_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P01861|IGHG4_HUMAN,sp|P19652|A1AG2_HUMAN,sp|P02763|A1AG1_HUMAN,sp|P01596|KV104_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01596|KV104_HUMAN,tr|F8W696|F8W696_HUMAN,sp|P01877|IGHA2_HUMAN,sp|P02790|HEMO_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,sp|P04114|APOB_HUMAN,sp|P04114|APOB_HUMAN,tr|C9JV77|C9JV77_HUMAN,sp|P19652|A1AG2_HUMAN,sp|Q96GC6-2|ZN274_HUMAN,sp|P01620|KV302_HUMAN,sp|P01009|A1AT_HUMAN,sp|P69905|HBA_HUMAN,sp|P02790|HEMO_HUMAN
sp|P01765|HV304_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P0CF74|LAC6_HUMAN,sp|P04003|C4BPA_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P01766|HV305_HUMAN,sp|P0CF74|LAC6_HUMAN,sp|P02790|HEMO_HUMAN,tr|G3V3A0|G3V3A0_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P02763|A1AG1_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,tr|E9PFZ2|E9PFZ2_HUMAN,sp|P01009|A1AT_HUMAN,sp|P02652|APOA2_HUMAN,sp|P01593|KV101_HUMAN,sp|P01877|IGHA2_HUMAN,sp|P02763|A1AG1_HUMAN,sp|P04004|VTNC_HUMAN,sp|P01009|A1AT_HUMAN,sp|P04114|APOB_HUMAN,sp|P01620|KV302_HUMAN,tr|H3BS21|H3BS21_HUMAN,sp|P02790|HEMO_HUMAN,tr|H0YC35|H0YC35_HUMAN,sp|P01834|IGKC_HUMAN,sp|P01019|ANGT_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|P02763|A1AG1_HUMAN,tr|G3V1N2|G3V1N2_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P01009-2|A1AT_HUMAN
