100-SE-A,100-SE-B,101-SE-A,101-SE-B,102-SE-A,102-SE-B,103-SE-A,103-SE-B,105-SE-A,105-SE-B,107-SE-A,107-SE-B,109-SE-A,109-SE-B,110-SE-A,110-SE-B,113-SE-A,113-SE-B,118-SE-A,118-SE-B,119-SE-A,119-SE-B,120-SE-A,120-SE-B,CONT-SE-1A,CONT-SE-1B,CONT-SE-2A,CONT-SE-2B,GKSE-A,GKSE-B,SPSE-A,SPSE-B
sp|P02747|C1QC_HUMAN,sp|P01613|KV121_HUMAN,sp|P02747|C1QC_HUMAN,tr|E9PIT3|E9PIT3_HUMAN,sp|P02763|A1AG1_HUMAN,tr|F8W7G7|F8W7G7_HUMAN,sp|P01031|CO5_HUMAN,tr|Q5T985|Q5T985_HUMAN,sp|P01019|ANGT_HUMAN,sp|P04196|HRG_HUMAN,sp|P0DJI8|SAA1_HUMAN,sp|P01593|KV101_HUMAN,sp|P04217|A1BG_HUMAN,sp|P04217|A1BG_HUMAN,sp|P04217|A1BG_HUMAN,sp|P01009|A1AT_HUMAN,sp|P08519|APOA_HUMAN,tr|H0Y7Z1|H0Y7Z1_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,tr|F8W7G7|F8W7G7_HUMAN,sp|Q8NHU6-2|TDRD7_HUMAN,sp|P01717|LV403_HUMAN,sp|P01596|KV104_HUMAN,sp|P01019|ANGT_HUMAN,,,,,sp|P01859|IGHG2_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,sp|Q7Z6I6-2|RHG30_HUMAN,sp|P0CG05|LAC2_HUMAN
sp|P01019|ANGT_HUMAN,sp|P02763|A1AG1_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|P01593|KV101_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,sp|P01717|LV403_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P01019|ANGT_HUMAN,tr|H0YC35|H0YC35_HUMAN,tr|Q5T985|Q5T985_HUMAN,sp|P04196|HRG_HUMAN,sp|P01009-2|A1AT_HUMAN,tr|F8W7G7|F8W7G7_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P04003|C4BPA_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,tr|H0YC35|H0YC35_HUMAN,sp|Q9BYJ4-2|TRI34_HUMAN,tr|H0Y7Z1|H0Y7Z1_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|O43866|CD5L_HUMAN,tr|J3QLI0|J3QLI0_HUMAN,sp|P01768|HV307_HUMAN,tr|F5H2T0|F5H2T0_HUMAN,,,,,tr|G3V1N2|G3V1N2_HUMAN,sp|P01877|IGHA2_HUMAN,sp|Q8NHU6-2|TDRD7_HUMAN,sp|P02549-2|SPTA1_HUMAN
sp|P04196|HRG_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P01031|CO5_HUMAN,sp|P04217|A1BG_HUMAN,sp|P01009-2|A1AT_HUMAN,sp|P04217|A1BG_HUMAN,sp|P04217|A1BG_HUMAN,tr|D6RAK8|D6RAK8_HUMAN,tr|H0Y7L5|H0Y7L5_HUMAN,sp|P04217|A1BG_HUMAN,sp|P04004|VTNC_HUMAN,sp|P01009|A1AT_HUMAN,sp|P0DJI8|SAA1_HUMAN,sp|O43866|CD5L_HUMAN,sp|P01717|LV403_HUMAN,sp|P0CG04|LAC1_HUMAN,sp|P02763|A1AG1_HUMAN,sp|O75808|CAN15_HUMAN,sp|P01009|A1AT_HUMAN,sp|P01613|KV121_HUMAN,sp|P01009-2|A1AT_HUMAN,sp|O14490-5|DLGP1_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,sp|O43866|CD5L_HUMAN,,,,,sp|P01625|KV402_HUMAN,,,tr|F5H7E1|F5H7E1_HUMAN
sp|P04217|A1BG_HUMAN,sp|P01593|KV101_HUMAN,sp|O75533|SF3B1_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|P01019|ANGT_HUMAN,tr|F8W7G7|F8W7G7_HUMAN,tr|F8W7G7|F8W7G7_HUMAN,sp|P0C0L4|CO4A_HUMAN,sp|P06702|S10A9_HUMAN,tr|H0YAS8|H0YAS8_HUMAN,tr|E7ETN3|E7ETN3_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|P0DJI8|SAA1_HUMAN,sp|P04196|HRG_HUMAN,sp|P0C0L4|CO4A_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,sp|A6NKZ8|YI016_HUMAN,sp|P04196|HRG_HUMAN,sp|P04196|HRG_HUMAN,sp|A6NKZ8|YI016_HUMAN,sp|Q9P267-2|MBD5_HUMAN,tr|F5H2T0|F5H2T0_HUMAN,sp|Q9P267-2|MBD5_HUMAN,,,,,sp|P04196|HRG_HUMAN,,,tr|C9JV77|C9JV77_HUMAN
tr|F5H7E1|F5H7E1_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|P04114|APOB_HUMAN,sp|P04114|APOB_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|P19652|A1AG2_HUMAN,sp|P01019|ANGT_HUMAN,sp|P04217|A1BG_HUMAN,sp|P01766|HV305_HUMAN,tr|G3V3A0|G3V3A0_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,sp|P01613|KV121_HUMAN,sp|P01611|KV119_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,tr|E7EVA3|E7EVA3_HUMAN,sp|P01611|KV119_HUMAN,sp|P01019|ANGT_HUMAN,tr|H0YF60|H0YF60_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|O75157-2|T22D2_HUMAN,tr|I3L4X2|I3L4X2_HUMAN,tr|I3L487|I3L487_HUMAN,sp|A6NKZ8|YI016_HUMAN,,,,,sp|P01009-2|A1AT_HUMAN,,,tr|G3V1N2|G3V1N2_HUMAN
tr|F8W7G7|F8W7G7_HUMAN,sp|Q96PF1|TGM7_HUMAN,tr|C9JSB2|C9JSB2_HUMAN,sp|P02763|A1AG1_HUMAN,sp|P01620|KV302_HUMAN,sp|O43866|CD5L_HUMAN,sp|P01764|HV303_HUMAN,tr|D6RD17|D6RD17_HUMAN,sp|P04196|HRG_HUMAN,tr|H0Y7L5|H0Y7L5_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|P04004|VTNC_HUMAN,sp|P01613|KV121_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,sp|P04003|C4BPA_HUMAN,sp|P01031|CO5_HUMAN,,tr|F5H2T0|F5H2T0_HUMAN,tr|E9PFT6|E9PFT6_HUMAN,,sp|P02763|A1AG1_HUMAN,tr|E5RGM2|E5RGM2_HUMAN,,,,,,sp|Q15361|TTF1_HUMAN,,,sp|Q9NY74|ETAA1_HUMAN
sp|P19652|A1AG2_HUMAN,tr|H7C5D0|H7C5D0_HUMAN,,sp|Q96PF1|TGM7_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,sp|P01620|KV302_HUMAN,sp|O43866|CD5L_HUMAN,sp|P01717|LV403_HUMAN,tr|H0YA82|H0YA82_HUMAN,tr|H0YC35|H0YC35_HUMAN,tr|B4E1Z4|B4E1Z4_HUMAN,tr|Q5T985|Q5T985_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,tr|H0Y720|H0Y720_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,sp|O43866|CD5L_HUMAN,tr|G3V1N2|G3V1N2_HUMAN,,sp|P02042|HBD_HUMAN,tr|F5H2T0|F5H2T0_HUMAN,,,sp|P47972|NPTX2_HUMAN,,,,,,tr|G3V3A0|G3V3A0_HUMAN,,,sp|Q5JUK2-2|SOLH1_HUMAN
tr|Q5T985|Q5T985_HUMAN,sp|P01031|CO5_HUMAN,,sp|P04196|HRG_HUMAN,tr|F8VNX2|F8VNX2_HUMAN,sp|P68871|HBB_HUMAN,tr|C9JPV4|C9JPV4_HUMAN,tr|E9PIT3|E9PIT3_HUMAN,sp|Q96PF1|TGM7_HUMAN,tr|H0YA10|H0YA10_HUMAN,sp|Q8NG80|OR2L5_HUMAN,tr|G3V3A0|G3V3A0_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|Q8NG80|OR2L5_HUMAN,tr|G3V1N2|G3V1N2_HUMAN,sp|O75157-2|T22D2_HUMAN,,tr|C9JPV4|C9JPV4_HUMAN,tr|I3L487|I3L487_HUMAN,,,sp|Q99929|ASCL2_HUMAN,,,,,,sp|P02790|HEMO_HUMAN,,,
sp|P02763|A1AG1_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,,tr|D6RAK8|D6RAK8_HUMAN,sp|O76081-5|RGS20_HUMAN,sp|Q96PF1|TGM7_HUMAN,sp|P01613|KV121_HUMAN,sp|P02747|C1QC_HUMAN,sp|P08603|CFAH_HUMAN,sp|Q96PF1|TGM7_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,sp|Q96PF1|TGM7_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,tr|G3V1N2|G3V1N2_HUMAN,sp|P01701|LV103_HUMAN,tr|H0Y3H2|H0Y3H2_HUMAN,,,sp|Q9BYJ4-2|TRI34_HUMAN,tr|E9PIF2|E9PIF2_HUMAN,,,sp|P55201-2|BRPF1_HUMAN,,,,,,,,,
tr|D6RAK8|D6RAK8_HUMAN,sp|Q8IWB1|IPRI_HUMAN,,tr|F8W7G7|F8W7G7_HUMAN,,tr|D6RAK8|D6RAK8_HUMAN,tr|B0YIW2|B0YIW2_HUMAN,sp|P01766|HV305_HUMAN,sp|Q8IWB1|IPRI_HUMAN,sp|P08603|CFAH_HUMAN,tr|G3V3A0|G3V3A0_HUMAN,tr|F5H7E1|F5H7E1_HUMAN,tr|I3L487|I3L487_HUMAN,tr|I3L487|I3L487_HUMAN,tr|Q5T985|Q5T985_HUMAN,tr|B4DNQ5|B4DNQ5_HUMAN,,,tr|G3V2V2|G3V2V2_HUMAN,sp|Q9BYJ4-2|TRI34_HUMAN,,,tr|F5GZG4|F5GZG4_HUMAN,,,,,,,,,
