"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","geneSymbols"
"GO:0016209","antioxidant activity","3/21","86/18337",0.000124620310804824,0.00959576393197144,0.00760839792282083,"3240/213/3039",3,"HP/ALB/HBA1"
"GO:0003823","antigen binding","3/21","165/18337",0.000844607514741439,0.0231583851191432,0.0183620825278237,"5340/28908/28930",3,"PLG/IGKV4-1/IGKV1-39"
"GO:0019825","oxygen binding","2/21","39/18337",0.000902274744901682,0.0231583851191432,0.0183620825278237,"213/3039",2,"ALB/HBA1"
